Date,P_x_pred,P_y_pred,P_z_pred,Equipo1_pred,Equipo2_pred
2023-09-01,72.83794,544.15125,2108.8667,449.8886,908.61865
2023-10-01,70.77582,542.70996,2077.6086,448.32312,897.0315
2023-11-01,70.98656,548.1227,2048.5405,452.69543,889.2166
2023-12-01,73.14144,552.1313,2020.8372,456.33334,882.0366
2024-01-01,84.59114,544.49365,2172.8438,452.51318,933.97614
2024-02-01,82.9243,537.4272,2128.708,446.5266,916.3532
2024-03-01,83.031204,532.9815,2098.5776,442.99146,904.86346
2024-04-01,84.686806,529.30096,2073.3867,440.3781,895.7915
2024-05-01,70.674126,582.4017,2085.6545,480.05618,912.91016
2024-06-01,68.40621,591.7927,2064.1484,487.11542,908.1158
2024-07-01,67.19205,591.90753,2050.8616,486.96445,903.3204
2024-08-01,67.508934,581.17584,2034.094,478.44247,894.2596
2024-09-01,81.64696,550.93787,2121.682,457.0797,918.08887
2024-10-01,80.76725,551.8579,2095.6553,457.63977,909.4268
2024-11-01,79.37828,550.31757,2071.3364,456.1297,900.34406
2024-12-01,78.68093,545.37463,2054.045,452.0359,892.7002
2025-01-01,58.31856,606.27875,1941.905,496.68674,868.83417
2025-02-01,54.370228,620.2713,1915.5359,507.0911,863.3925
2025-03-01,54.28474,621.8672,1906.8424,508.35068,860.9981
2025-04-01,57.773346,610.09033,1909.6588,499.62692,859.17413
2025-05-01,80.75842,531.5771,2036.8617,441.41336,883.06573
2025-06-01,81.25338,526.71686,2024.5071,437.62418,877.49243
2025-07-01,81.67982,523.7211,2013.0691,435.31287,872.8233
2025-08-01,82.09686,523.4695,2003.3778,435.19498,869.648
2025-09-01,47.11236,634.95044,1901.2397,517.3828,861.1008
2025-10-01,42.707687,647.09235,1887.9673,526.21545,859.2558
2025-11-01,42.140785,647.0083,1878.6904,526.0348,855.94653
2025-12-01,45.201412,636.19495,1870.8275,517.9962,850.7413
2026-01-01,79.367615,515.81335,1945.9829,428.52423,847.0546
2026-02-01,79.82804,509.4954,1936.7048,423.56192,842.00946
2026-03-01,79.5505,508.6992,1937.4614,422.86945,841.90375
2026-04-01,79.11067,510.95157,1941.76,424.5834,843.94073
2026-05-01,28.957787,677.02606,1886.1925,547.4124,864.0588
2026-06-01,21.630384,696.0264,1864.3228,561.1472,860.65985
2026-07-01,21.643257,696.94836,1845.5409,561.8874,854.7109
2026-08-01,28.154646,680.649,1838.4918,550.15015,849.09845
